id,number_of_vertices,asymmetric_depth,degree_sequence,graph_representation,g6string
1810,9,2,"(6, 6, 5, 5, 4, 4, 4, 3, 3)","{1: [8, 4, 6], 2: [9, 5, 6, 7], 3: [8, 5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 6, 8, 9], 6: [1, 2, 5, 9], 7: [2, 3, 4, 8, 9], 8: [1, 3, 4, 5, 7, 9], 9: [2, 4, 5, 6, 7, 8]}",HChrP~V
1811,9,2,"(6, 6, 5, 5, 4, 4, 4, 3, 3)","{1: [8, 9, 4, 6], 2: [9, 5, 6, 7], 3: [8, 9, 5, 7], 4: [1, 8, 7], 5: [2, 3, 6, 8, 9], 6: [1, 2, 5], 7: [2, 3, 4, 8, 9], 8: [1, 3, 4, 5, 7, 9], 9: [1, 2, 3, 5, 7, 8]}",HAqr`}n
1812,9,2,"(6, 6, 4, 4, 4, 4, 4, 4, 4)","{1: [8, 9, 4, 6], 2: [9, 5, 6, 7], 3: [8, 9, 5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 8, 6], 6: [1, 2, 5, 9], 7: [2, 3, 4, 8], 8: [1, 3, 4, 5, 7, 9], 9: [1, 2, 3, 4, 6, 8]}",H{L?h~N
1813,9,2,"(6, 6, 5, 4, 4, 4, 4, 4, 3)","{1: [8, 9, 4, 6], 2: [9, 5, 6, 7], 3: [8, 5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 6, 8, 9], 6: [1, 2, 5, 8], 7: [2, 3, 4, 9], 8: [1, 3, 4, 5, 6, 9], 9: [1, 2, 4, 5, 7, 8]}",HIEkr^r
1814,9,2,"(6, 6, 5, 4, 4, 4, 4, 4, 3)","{1: [8, 9, 4, 6], 2: [9, 5, 6, 7], 3: [8, 9, 5, 7], 4: [1, 8, 7], 5: [2, 3, 6, 8, 9], 6: [1, 2, 5, 8], 7: [2, 3, 4, 9], 8: [1, 3, 4, 5, 6, 9], 9: [1, 2, 3, 5, 7, 8]}",HGnB`~V
1815,9,2,"(6, 6, 4, 4, 4, 4, 4, 4, 4)","{1: [8, 9, 4, 6], 2: [9, 5, 6, 7], 3: [8, 9, 5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 8, 6], 6: [1, 2, 5, 8], 7: [2, 3, 4, 9], 8: [1, 3, 4, 5, 6, 9], 9: [1, 2, 3, 4, 7, 8]}",H{L?j]^
1816,9,2,"(6, 5, 5, 5, 5, 4, 4, 3, 3)","{1: [8, 4, 6], 2: [5, 6, 7, 8, 9], 3: [9, 5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 9, 6], 6: [1, 2, 5, 8, 9], 7: [2, 3, 4, 8, 9], 8: [1, 2, 4, 6, 7], 9: [2, 3, 4, 5, 6, 7]}",HQEkzXz
1817,9,2,"(7, 6, 5, 5, 4, 4, 4, 4, 3)","{1: [8, 9, 4, 6], 2: [5, 6, 7, 8, 9], 3: [9, 5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 9, 6], 6: [1, 2, 5, 8], 7: [2, 3, 4, 8, 9], 8: [1, 2, 4, 6, 7, 9], 9: [1, 2, 3, 4, 5, 7, 8]}",HIc\Jnn
1818,9,2,"(6, 5, 5, 4, 4, 4, 4, 3, 3)","{1: [8, 9, 4, 6], 2: [8, 5, 6, 7], 3: [9, 5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 6, 8, 9], 6: [1, 2, 5], 7: [2, 3, 4, 9], 8: [1, 2, 4, 5, 9], 9: [1, 3, 4, 5, 7, 8]}",HBe`]Tv
1819,9,2,"(6, 5, 5, 4, 4, 4, 4, 4, 2)","{1: [8, 9, 4, 6], 2: [5, 6, 7, 8, 9], 3: [5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 6, 8, 9], 6: [1, 2, 5, 9], 7: [2, 3, 4, 9], 8: [1, 2, 4, 5], 9: [1, 2, 4, 5, 6, 7]}",HJQ_{tn
1820,9,2,"(6, 5, 5, 4, 4, 4, 4, 3, 3)","{1: [8, 9, 4, 6], 2: [5, 6, 7, 8, 9], 3: [9, 5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 8, 6], 6: [1, 2, 5], 7: [2, 3, 4, 9], 8: [1, 2, 4, 5, 9], 9: [1, 2, 3, 4, 7, 8]}",HBj@[lz
1821,9,2,"(6, 5, 4, 4, 4, 4, 4, 4, 3)","{1: [8, 9, 4, 6], 2: [5, 6, 7, 8, 9], 3: [9, 5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 8, 6], 6: [1, 2, 5, 9], 7: [2, 3, 4, 9], 8: [1, 2, 4, 5], 9: [1, 2, 3, 4, 6, 7]}",HJI]?~j
1822,9,2,"(6, 5, 5, 5, 5, 4, 4, 3, 3)","{1: [8, 4, 6], 2: [5, 6, 7, 8, 9], 3: [9, 5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 6, 8, 9], 6: [1, 2, 5, 9], 7: [2, 3, 4, 8, 9], 8: [1, 2, 4, 5, 7], 9: [2, 3, 4, 5, 6, 7]}",HIDl[yz
1823,9,2,"(6, 6, 5, 5, 4, 4, 4, 4, 2)","{1: [8, 9, 4, 6], 2: [5, 6, 7, 8, 9], 3: [5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 8, 6], 6: [1, 2, 5, 9], 7: [2, 3, 4, 8, 9], 8: [1, 2, 4, 5, 7, 9], 9: [1, 2, 4, 6, 7, 8]}",HIc\Jln
1824,9,2,"(6, 5, 5, 5, 4, 4, 4, 4, 3)","{1: [8, 9, 4, 6], 2: [5, 6, 7, 8, 9], 3: [9, 5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 6, 8, 9], 6: [1, 2, 5, 9], 7: [2, 3, 4, 8], 8: [1, 2, 4, 5, 7], 9: [1, 2, 3, 4, 5, 6]}",HIdX\Nr
1825,9,2,"(7, 6, 5, 5, 4, 4, 4, 4, 3)","{1: [8, 9, 4, 6], 2: [5, 6, 7, 8, 9], 3: [9, 5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 6, 8, 9], 6: [1, 2, 5, 9], 7: [2, 3, 4, 8], 8: [1, 2, 4, 5, 7, 9], 9: [1, 2, 3, 4, 5, 6, 8]}",HIg[j^v
1826,9,2,"(6, 6, 5, 5, 4, 4, 4, 4, 2)","{1: [8, 9, 4, 6], 2: [5, 6, 7, 8, 9], 3: [5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 6, 8, 9], 6: [1, 2, 5, 8], 7: [2, 3, 4, 9], 8: [1, 2, 4, 5, 6, 9], 9: [1, 2, 4, 5, 7, 8]}",HIg[jln
1827,9,2,"(4, 4, 4, 4, 4, 4, 4, 4, 2)","{1: [8, 9, 4, 6], 2: [8, 5, 6, 7], 3: [8, 9, 5, 7], 4: [1, 7], 5: [2, 3, 9, 6], 6: [1, 2, 5, 8], 7: [2, 3, 4, 9], 8: [1, 2, 3, 6], 9: [1, 3, 5, 7]}",HB\aKmi
1828,9,2,"(6, 5, 5, 4, 4, 4, 4, 3, 3)","{1: [8, 9, 4, 6], 2: [5, 6, 7, 8, 9], 3: [8, 5, 7], 4: [1, 9, 7], 5: [2, 3, 9, 6], 6: [1, 2, 5, 8, 9], 7: [2, 3, 4, 9], 8: [1, 2, 3, 6], 9: [1, 2, 4, 5, 6, 7]}",HLb@o|n
1829,9,2,"(6, 5, 5, 5, 4, 4, 4, 4, 3)","{1: [8, 9, 4, 6], 2: [5, 6, 7, 8, 9], 3: [8, 5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 9, 6], 6: [1, 2, 5, 9], 7: [2, 3, 4, 8, 9], 8: [1, 2, 3, 4, 7], 9: [1, 2, 4, 5, 6, 7]}",HHpLkl|
1830,9,2,"(6, 6, 5, 4, 4, 4, 4, 4, 3)","{1: [8, 9, 4, 6], 2: [8, 5, 6, 7], 3: [8, 9, 5, 7], 4: [1, 8, 7], 5: [2, 3, 6, 8, 9], 6: [1, 2, 5, 9], 7: [2, 3, 4, 9], 8: [1, 2, 3, 4, 5, 9], 9: [1, 3, 5, 6, 7, 8]}",HGub`~V
1831,9,2,"(6, 6, 4, 4, 4, 4, 4, 4, 4)","{1: [8, 9, 4, 6], 2: [8, 5, 6, 7], 3: [8, 9, 5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 8, 6], 6: [1, 2, 5, 9], 7: [2, 3, 4, 9], 8: [1, 2, 3, 4, 5, 9], 9: [1, 3, 4, 6, 7, 8]}",H{L?i}n
1832,9,2,"(7, 6, 5, 5, 4, 4, 4, 4, 3)","{1: [8, 9, 4, 6], 2: [5, 6, 7, 8, 9], 3: [8, 5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 6, 8, 9], 6: [1, 2, 5, 9], 7: [2, 3, 4, 9], 8: [1, 2, 3, 4, 5, 9], 9: [1, 2, 4, 5, 6, 7, 8]}",HIg[nL~
1833,9,2,"(6, 6, 5, 5, 5, 4, 4, 4, 3)","{1: [9, 4, 6], 2: [8, 5, 6, 7], 3: [8, 9, 5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 6, 8, 9], 6: [1, 2, 5, 7, 8, 9], 7: [2, 3, 4, 6, 9], 8: [2, 3, 4, 5, 6], 9: [1, 3, 4, 5, 6, 7]}",HC\rLvN
1834,9,2,"(6, 6, 6, 5, 4, 4, 4, 4, 3)","{1: [8, 9, 4, 6], 2: [9, 5, 6, 7], 3: [8, 5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 9, 6], 6: [1, 2, 5, 7, 8, 9], 7: [2, 3, 4, 6, 8], 8: [1, 3, 4, 6, 7, 9], 9: [1, 2, 4, 5, 6, 8]}",HGerq~f
1835,9,2,"(7, 6, 6, 5, 4, 4, 4, 4, 4)","{1: [8, 9, 4, 6], 2: [9, 5, 6, 7], 3: [8, 9, 5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 9, 6], 6: [1, 2, 5, 7, 8], 7: [2, 3, 4, 6, 8, 9], 8: [1, 3, 4, 6, 7, 9], 9: [1, 2, 3, 4, 5, 7, 8]}",HH_}m^z
1836,9,2,"(6, 6, 5, 5, 4, 4, 4, 4, 4)","{1: [8, 9, 4, 6], 2: [9, 5, 6, 7], 3: [8, 9, 5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 9, 6], 6: [1, 2, 5, 7, 8, 9], 7: [2, 3, 4, 6, 8], 8: [1, 3, 4, 6, 7], 9: [1, 2, 3, 4, 5, 6]}",HQ`X~rf
1837,9,2,"(8, 6, 6, 6, 4, 4, 4, 4, 4)","{1: [8, 9, 4, 6], 2: [9, 5, 6, 7], 3: [8, 9, 5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 9, 6], 6: [1, 2, 5, 7, 8, 9], 7: [2, 3, 4, 6, 8, 9], 8: [1, 3, 4, 6, 7, 9], 9: [1, 2, 3, 4, 5, 6, 7, 8]}",HK`q|^~
1838,9,2,"(5, 5, 5, 5, 4, 4, 4, 3, 3)","{1: [8, 9, 4, 6], 2: [5, 6, 7], 3: [8, 5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 6, 8, 9], 6: [1, 2, 5, 7, 9], 7: [2, 3, 4, 6, 9], 8: [1, 3, 4, 5], 9: [1, 4, 5, 6, 7]}",H@[sm^e
1839,9,2,"(5, 5, 5, 4, 4, 4, 4, 4, 3)","{1: [8, 9, 4, 6], 2: [5, 6, 7], 3: [8, 9, 5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 8, 6], 6: [1, 2, 5, 7, 9], 7: [2, 3, 4, 6, 9], 8: [1, 3, 4, 5], 9: [1, 3, 4, 6, 7]}",HJRHtUV
1840,9,2,"(6, 5, 5, 5, 4, 4, 4, 4, 3)","{1: [8, 9, 4, 6], 2: [5, 6, 7], 3: [8, 9, 5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 8, 6], 6: [1, 2, 5, 7, 9], 7: [2, 3, 4, 6, 9], 8: [1, 3, 4, 5, 9], 9: [1, 3, 4, 6, 7, 8]}",HGd}dTv
1841,9,2,"(5, 5, 5, 4, 4, 4, 4, 4, 3)","{1: [8, 9, 4, 6], 2: [9, 5, 6, 7], 3: [8, 9, 5, 7], 4: [1, 8, 7], 5: [2, 3, 8, 6], 6: [1, 2, 5, 7], 7: [2, 3, 4, 6, 9], 8: [1, 3, 4, 5, 9], 9: [1, 2, 3, 7, 8]}",HJQP\vM
1842,9,2,"(6, 5, 5, 5, 4, 4, 4, 4, 3)","{1: [8, 9, 4, 6], 2: [9, 5, 6, 7], 3: [8, 9, 5, 7], 4: [1, 8, 7], 5: [2, 3, 6, 8, 9], 6: [1, 2, 5, 7], 7: [2, 3, 4, 6, 9], 8: [1, 3, 4, 5, 9], 9: [1, 2, 3, 5, 7, 8]}",HGpvcw~
1843,9,2,"(6, 5, 5, 4, 4, 4, 4, 4, 4)","{1: [8, 9, 4, 6], 2: [9, 5, 6, 7], 3: [8, 9, 5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 8, 6], 6: [1, 2, 5, 7], 7: [2, 3, 4, 6, 9], 8: [1, 3, 4, 5, 9], 9: [1, 2, 3, 4, 7, 8]}",H{DA|W~
1844,9,2,"(6, 6, 6, 5, 4, 4, 4, 4, 3)","{1: [8, 9, 4, 6], 2: [5, 6, 7], 3: [8, 9, 5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 8, 6], 6: [1, 2, 5, 7, 9], 7: [2, 3, 4, 6, 8, 9], 8: [1, 3, 4, 5, 7, 9], 9: [1, 3, 4, 6, 7, 8]}",HAiZrnf
1845,9,2,"(6, 6, 6, 4, 4, 4, 4, 4, 4)","{1: [8, 9, 4, 6], 2: [9, 5, 6, 7], 3: [8, 9, 5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 8, 6], 6: [1, 2, 5, 7], 7: [2, 3, 4, 6, 8, 9], 8: [1, 3, 4, 5, 7, 9], 9: [1, 2, 3, 4, 7, 8]}",Hy_Sz[~
1846,9,2,"(6, 6, 5, 5, 5, 4, 4, 4, 3)","{1: [8, 4, 6], 2: [9, 5, 6, 7], 3: [8, 9, 5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 6, 8, 9], 6: [1, 2, 5, 7, 8], 7: [2, 3, 4, 6, 9], 8: [1, 3, 4, 5, 6, 9], 9: [2, 3, 4, 5, 7, 8]}",HCXtZzZ
1847,9,2,"(7, 6, 6, 5, 5, 4, 4, 4, 3)","{1: [8, 4, 6], 2: [9, 5, 6, 7], 3: [8, 9, 5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 6, 8, 9], 6: [1, 2, 5, 7, 8, 9], 7: [2, 3, 4, 6, 9], 8: [1, 3, 4, 5, 6, 9], 9: [2, 3, 4, 5, 6, 7, 8]}",HC\dm\~
1848,9,2,"(6, 6, 5, 5, 5, 4, 4, 4, 3)","{1: [8, 9, 4, 6], 2: [9, 5, 6, 7], 3: [8, 9, 5, 7], 4: [1, 8, 7], 5: [2, 3, 6, 8, 9], 6: [1, 2, 5, 7, 8, 9], 7: [2, 3, 4, 6, 9], 8: [1, 3, 4, 5, 6], 9: [1, 2, 3, 5, 6, 7]}",HCY~Bt^
1849,9,2,"(6, 6, 6, 4, 4, 4, 4, 4, 4)","{1: [8, 9, 4, 6], 2: [9, 5, 6, 7], 3: [8, 9, 5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 8, 6], 6: [1, 2, 5, 7, 8, 9], 7: [2, 3, 4, 6], 8: [1, 3, 4, 5, 6, 9], 9: [1, 2, 3, 4, 6, 8]}",H]_Hz^V
1850,9,2,"(6, 6, 6, 5, 4, 4, 4, 4, 3)","{1: [8, 9, 4, 6], 2: [8, 5, 6, 7], 3: [9, 5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 9, 6], 6: [1, 2, 5, 7, 8, 9], 7: [2, 3, 4, 6, 8], 8: [1, 2, 4, 6, 7, 9], 9: [1, 3, 4, 5, 6, 8]}",HGeri~j
1851,9,2,"(5, 5, 5, 5, 4, 4, 4, 3, 3)","{1: [8, 4, 6], 2: [8, 5, 6, 7], 3: [9, 5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 8, 6], 6: [1, 2, 5, 7, 9], 7: [2, 3, 4, 6, 9], 8: [1, 2, 4, 5, 9], 9: [3, 4, 6, 7, 8]}",HAiTj\{
1852,9,2,"(5, 5, 5, 5, 5, 4, 4, 3, 2)","{1: [8, 4, 6], 2: [5, 6, 7, 8, 9], 3: [5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 6, 8, 9], 6: [1, 2, 5, 7, 9], 7: [2, 3, 4, 6], 8: [1, 2, 4, 5, 9], 9: [2, 4, 5, 6, 8]}",HLCizYN
1853,9,2,"(5, 5, 5, 5, 4, 4, 4, 3, 3)","{1: [8, 9, 4, 6], 2: [8, 5, 6, 7], 3: [9, 5, 7], 4: [1, 8, 7], 5: [2, 3, 8, 6], 6: [1, 2, 5, 7, 9], 7: [2, 3, 4, 6, 9], 8: [1, 2, 4, 5, 9], 9: [1, 3, 6, 7, 8]}",HAg{jve
1854,9,2,"(5, 5, 5, 4, 4, 4, 4, 4, 3)","{1: [8, 9, 4, 6], 2: [8, 5, 6, 7], 3: [9, 5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 8, 6], 6: [1, 2, 5, 7, 9], 7: [2, 3, 4, 6, 9], 8: [1, 2, 4, 5], 9: [1, 3, 4, 6, 7]}",HIZPlUZ
1855,9,2,"(6, 5, 5, 5, 4, 4, 4, 4, 3)","{1: [8, 9, 4, 6], 2: [8, 5, 6, 7], 3: [9, 5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 8, 6], 6: [1, 2, 5, 7, 9], 7: [2, 3, 4, 6, 9], 8: [1, 2, 4, 5, 9], 9: [1, 3, 4, 6, 7, 8]}",HAhxvFV
1856,9,2,"(5, 5, 5, 5, 4, 4, 4, 4, 2)","{1: [8, 9, 4, 6], 2: [5, 6, 7, 8, 9], 3: [5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 8, 6], 6: [1, 2, 5, 7, 9], 7: [2, 3, 4, 6, 9], 8: [1, 2, 4, 5], 9: [1, 2, 4, 6, 7]}",HJhPW~F
1857,9,2,"(7, 5, 5, 5, 5, 4, 4, 4, 3)","{1: [8, 9, 4, 6], 2: [5, 6, 7, 8, 9], 3: [9, 5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 6, 8, 9], 6: [1, 2, 5, 7, 9], 7: [2, 3, 4, 6, 9], 8: [1, 2, 4, 5], 9: [1, 2, 3, 4, 5, 6, 7]}",HJHK}Y~
1858,9,2,"(5, 5, 5, 5, 4, 4, 4, 3, 3)","{1: [8, 4, 6], 2: [8, 5, 6, 7], 3: [8, 9, 5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 6], 6: [1, 2, 5, 7, 9], 7: [2, 3, 4, 6, 9], 8: [1, 2, 3, 4, 9], 9: [3, 4, 6, 7, 8]}",HQOp|zM
1859,9,2,"(5, 5, 5, 5, 4, 4, 4, 3, 3)","{1: [8, 4, 6], 2: [5, 6, 7, 8, 9], 3: [8, 5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 9, 6], 6: [1, 2, 5, 7, 9], 7: [2, 3, 4, 6], 8: [1, 2, 3, 4, 9], 9: [2, 4, 5, 6, 8]}",HKSp\^U
1860,9,2,"(5, 5, 5, 4, 4, 4, 4, 4, 3)","{1: [8, 9, 4, 6], 2: [8, 5, 6, 7], 3: [8, 9, 5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 6], 6: [1, 2, 5, 7, 9], 7: [2, 3, 4, 6, 9], 8: [1, 2, 3, 4], 9: [1, 3, 4, 6, 7]}",HJr@g}j
1861,9,2,"(7, 6, 6, 5, 4, 4, 4, 4, 4)","{1: [8, 9, 4, 6], 2: [8, 5, 6, 7], 3: [8, 9, 5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 9, 6], 6: [1, 2, 5, 7, 9], 7: [2, 3, 4, 6, 8, 9], 8: [1, 2, 3, 4, 7, 9], 9: [1, 3, 4, 5, 6, 7, 8]}",HH_}unn
1862,9,2,"(5, 5, 5, 5, 4, 4, 4, 4, 4)","{1: [8, 9, 4, 6], 2: [8, 5, 6, 7], 3: [8, 9, 5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 8, 6], 6: [1, 2, 5, 7, 9], 7: [2, 3, 4, 6, 9], 8: [1, 2, 3, 4, 5], 9: [1, 3, 4, 6, 7]}",HKbzauj
1863,9,2,"(5, 5, 5, 4, 4, 4, 4, 4, 3)","{1: [9, 4, 6], 2: [8, 5, 6, 7], 3: [8, 9, 5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 6, 7], 6: [1, 2, 5, 8, 9], 7: [2, 3, 4, 5, 9], 8: [2, 3, 4, 6], 9: [1, 3, 4, 6, 7]}",HIMJnQV
1864,9,2,"(6, 6, 6, 5, 4, 4, 4, 4, 3)","{1: [9, 4, 6], 2: [8, 5, 6, 7], 3: [8, 9, 5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 6, 7], 6: [1, 2, 5, 8, 9], 7: [2, 3, 4, 5, 8, 9], 8: [2, 3, 4, 6, 7, 9], 9: [1, 3, 4, 6, 7, 8]}",HBarr^N
1865,9,2,"(6, 6, 6, 5, 5, 4, 4, 3, 3)","{1: [9, 4, 6], 2: [5, 6, 7, 8, 9], 3: [8, 5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 6, 7], 6: [1, 2, 5, 8, 9], 7: [2, 3, 4, 5, 8, 9], 8: [2, 3, 4, 6, 7, 9], 9: [1, 2, 4, 6, 7, 8]}",HKD\Z]z
1866,9,2,"(6, 6, 6, 5, 5, 4, 4, 3, 3)","{1: [8, 9, 4, 6], 2: [5, 6, 7], 3: [8, 9, 5, 7], 4: [1, 8, 7], 5: [2, 3, 6, 7, 9], 6: [1, 2, 5, 8, 9], 7: [2, 3, 4, 5, 8, 9], 8: [1, 3, 4, 6, 7, 9], 9: [1, 3, 5, 6, 7, 8]}",HCTh|vf
1867,9,2,"(6, 6, 6, 4, 4, 4, 4, 4, 4)","{1: [8, 9, 4, 6], 2: [9, 5, 6, 7], 3: [8, 9, 5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 6, 7], 6: [1, 2, 5, 8], 7: [2, 3, 4, 5, 8, 9], 8: [1, 3, 4, 6, 7, 9], 9: [1, 2, 3, 4, 7, 8]}",Hy_TY{~
1868,9,2,"(6, 6, 5, 5, 5, 4, 4, 4, 3)","{1: [8, 9, 4, 6], 2: [9, 5, 6, 7], 3: [8, 5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 6, 7, 8, 9], 6: [1, 2, 5, 8, 9], 7: [2, 3, 4, 5, 9], 8: [1, 3, 4, 5, 6], 9: [1, 2, 4, 5, 6, 7]}",HAZ\bun
1869,9,2,"(7, 6, 5, 5, 5, 4, 4, 4, 4)","{1: [8, 9, 4, 6], 2: [9, 5, 6, 7], 3: [8, 9, 5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 6, 7, 8, 9], 6: [1, 2, 5, 8, 9], 7: [2, 3, 4, 5, 9], 8: [1, 3, 4, 5, 6], 9: [1, 2, 3, 4, 5, 6, 7]}",H_^ch~z
1870,9,2,"(7, 7, 6, 5, 5, 4, 4, 4, 4)","{1: [8, 9, 4, 6], 2: [9, 5, 6, 7], 3: [8, 9, 5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 6, 7, 8, 9], 6: [1, 2, 5, 8, 9], 7: [2, 3, 4, 5, 8], 8: [1, 3, 4, 5, 6, 7, 9], 9: [1, 2, 3, 4, 5, 6, 8]}",H_lP~nn
1871,9,2,"(5, 5, 5, 4, 4, 4, 4, 4, 3)","{1: [8, 9, 4, 6], 2: [8, 5, 6, 7], 3: [9, 5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 6, 7], 6: [1, 2, 5, 8, 9], 7: [2, 3, 4, 5, 9], 8: [1, 2, 4, 6], 9: [1, 3, 4, 6, 7]}",HIYRlU\
1872,9,2,"(6, 6, 6, 5, 5, 4, 4, 3, 3)","{1: [8, 9, 4, 6], 2: [5, 6, 7, 8, 9], 3: [9, 5, 7], 4: [1, 8, 7], 5: [2, 3, 6, 7], 6: [1, 2, 5, 8, 9], 7: [2, 3, 4, 5, 8, 9], 8: [1, 2, 4, 6, 7, 9], 9: [1, 2, 3, 6, 7, 8]}",HQC|Z^Z
1873,9,2,"(6, 6, 6, 5, 5, 4, 4, 4, 2)","{1: [8, 9, 4, 6], 2: [5, 6, 7, 8, 9], 3: [5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 6, 7, 8], 6: [1, 2, 5, 9], 7: [2, 3, 4, 5, 8, 9], 8: [1, 2, 4, 5, 7, 9], 9: [1, 2, 4, 6, 7, 8]}",HIEZr]n
1874,9,2,"(7, 6, 6, 5, 5, 4, 4, 4, 3)","{1: [8, 9, 4, 6], 2: [5, 6, 7, 8, 9], 3: [9, 5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 6, 7, 8], 6: [1, 2, 5, 9], 7: [2, 3, 4, 5, 8, 9], 8: [1, 2, 4, 5, 7, 9], 9: [1, 2, 3, 4, 6, 7, 8]}",HIEZ\^z
1875,9,2,"(6, 5, 5, 5, 4, 4, 4, 4, 3)","{1: [8, 9, 4, 6], 2: [8, 5, 6, 7], 3: [8, 9, 5, 7], 4: [1, 8, 7], 5: [2, 3, 6, 7, 9], 6: [1, 2, 5, 9], 7: [2, 3, 4, 5, 9], 8: [1, 2, 3, 4, 9], 9: [1, 3, 5, 6, 7, 8]}",HGptlp^
1876,9,2,"(6, 5, 5, 5, 5, 4, 4, 3, 3)","{1: [8, 9, 4, 6], 2: [5, 6, 7, 8, 9], 3: [8, 5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 6, 7, 9], 6: [1, 2, 5], 7: [2, 3, 4, 5, 9], 8: [1, 2, 3, 4, 9], 9: [1, 2, 4, 5, 7, 8]}",HBQluW~
1877,9,2,"(5, 5, 5, 5, 4, 4, 4, 4, 4)","{1: [8, 9, 4, 6], 2: [8, 5, 6, 7], 3: [8, 9, 5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 6, 7], 6: [1, 2, 5, 8, 9], 7: [2, 3, 4, 5, 9], 8: [1, 2, 3, 4, 6], 9: [1, 3, 4, 6, 7]}",HK`|rVT
1878,9,2,"(6, 6, 6, 4, 4, 4, 4, 4, 4)","{1: [8, 9, 4, 6], 2: [8, 5, 6, 7], 3: [8, 9, 5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 6, 7, 8, 9], 6: [1, 2, 5, 9], 7: [2, 3, 4, 5], 8: [1, 2, 3, 4, 5, 9], 9: [1, 3, 4, 5, 6, 8]}",HMiBi}n
1879,9,2,"(6, 6, 6, 6, 6, 4, 4, 3, 3)","{1: [8, 4, 6], 2: [5, 6, 7], 3: [8, 9, 5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 6, 7, 8, 9], 6: [1, 2, 5, 7, 8, 9], 7: [2, 3, 4, 5, 6, 9], 8: [1, 3, 4, 5, 6, 9], 9: [3, 4, 5, 6, 7, 8]}",HAMlzzN
1880,9,2,"(6, 6, 6, 6, 6, 4, 4, 3, 3)","{1: [8, 9, 4, 6], 2: [5, 6, 7], 3: [8, 5, 7], 4: [1, 8, 9, 7], 5: [2, 3, 6, 7, 8, 9], 6: [1, 2, 5, 7, 8, 9], 7: [2, 3, 4, 5, 6, 9], 8: [1, 3, 4, 5, 6, 9], 9: [1, 4, 5, 6, 7, 8]}",H@Mj}^\
