id,number_of_vertices,asymmetric_depth,degree_sequence,graph_representation,g6string
21,9,2,"(5, 5, 5, 4, 3, 3, 2, 2, 1)","{1: [8, 9, 5], 2: [6, 7], 3: [8, 9, 6], 4: [9, 7], 5: [1], 6: [2, 3, 7, 8, 9], 7: [2, 4, 6, 8], 8: [1, 3, 6, 7, 9], 9: [1, 3, 4, 6, 8]}",H?`_ysv
22,9,2,"(5, 4, 4, 4, 3, 3, 2, 2, 1)","{1: [8, 5], 2: [8, 6, 7], 3: [8, 9, 6], 4: [7], 5: [1, 9], 6: [2, 3, 9, 7], 7: [2, 4, 6, 9], 8: [1, 2, 3, 9], 9: [3, 5, 6, 7, 8]}",HG?Ysgn
23,9,2,"(5, 4, 4, 4, 3, 2, 2, 2, 2)","{1: [8, 5], 2: [8, 9, 6, 7], 3: [8, 6], 4: [9, 7], 5: [1, 9], 6: [2, 3, 7], 7: [2, 4, 6, 9], 8: [1, 2, 3, 9], 9: [2, 4, 5, 7, 8]}",H_EPO\f
24,9,2,"(6, 4, 4, 4, 4, 2, 2, 2, 2)","{1: [8, 5], 2: [8, 9, 6, 7], 3: [8, 6], 4: [9, 7], 5: [1, 9], 6: [2, 3, 9, 7], 7: [2, 4, 6, 9], 8: [1, 2, 3, 9], 9: [2, 4, 5, 6, 7, 8]}",H_S_g]n
25,9,2,"(4, 4, 4, 4, 3, 3, 2, 1, 1)","{1: [8, 9, 5], 2: [8, 9, 6, 7], 3: [8, 6], 4: [7], 5: [1], 6: [2, 3, 7], 7: [2, 4, 6, 9], 8: [1, 2, 3, 9], 9: [1, 2, 7, 8]}",H@OGh]U
26,9,2,"(6, 4, 4, 4, 4, 3, 2, 2, 1)","{1: [8, 9, 5], 2: [8, 9, 6, 7], 3: [8, 6], 4: [9, 7], 5: [1], 6: [2, 3, 9, 7], 7: [2, 4, 6, 9], 8: [1, 2, 3, 9], 9: [1, 2, 4, 6, 7, 8]}",HC@HYo~
27,9,2,"(4, 4, 4, 4, 3, 2, 2, 2, 1)","{1: [8, 9, 5], 2: [8, 9, 6, 7], 3: [6, 7], 4: [8, 7], 5: [1], 6: [2, 3], 7: [2, 3, 4, 9], 8: [1, 2, 4, 9], 9: [1, 2, 7, 8]}",H@_IWld
28,9,2,"(5, 5, 5, 4, 3, 3, 2, 2, 1)","{1: [5, 7], 2: [8, 9, 6], 3: [6], 4: [9, 7], 5: [1, 8, 9], 6: [2, 3, 8, 7], 7: [1, 4, 6, 8, 9], 8: [2, 5, 6, 7, 9], 9: [2, 4, 5, 7, 8]}",H?IOytf
29,9,2,"(5, 5, 5, 4, 3, 3, 2, 2, 1)","{1: [5, 7], 2: [8, 9, 6], 3: [6], 4: [9, 7], 5: [1, 8, 9], 6: [2, 3, 7, 8, 9], 7: [1, 4, 6, 8], 8: [2, 5, 6, 7, 9], 9: [2, 4, 5, 6, 8]}",H?H_yuV
30,9,2,"(4, 4, 4, 4, 2, 2, 2, 2, 2)","{1: [5, 7], 2: [8, 6], 3: [9, 6], 4: [8, 7], 5: [1, 8], 6: [2, 3, 9, 7], 7: [1, 4, 6, 9], 8: [2, 4, 5, 9], 9: [3, 6, 7, 8]}",H_@XcSf
31,9,2,"(4, 4, 4, 3, 3, 2, 2, 2, 2)","{1: [5, 7], 2: [8, 6], 3: [9, 6], 4: [8, 9, 7], 5: [1, 8], 6: [2, 3, 9, 7], 7: [1, 4, 6], 8: [2, 4, 5, 9], 9: [3, 4, 6, 8]}",HCCJUGf
